"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Hack Squat (Machine)",,"",0,"normal",80,6,,,6
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Hack Squat (Machine)",,"",1,"normal",100,6,,,7
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Hack Squat (Machine)",,"",2,"normal",100,12,,,7.5
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Hack Squat (Machine)",,"",3,"normal",110,6,,,7.5
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Leg Press (Machine)",,"",0,"normal",80,10,,,7
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Leg Press (Machine)",,"",1,"normal",120,12,,,7
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Leg Press (Machine)",,"",2,"normal",120,10,,,7
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Leg Extension (Machine)",,"",0,"normal",70,14,,,7.5
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Leg Extension (Machine)",,"",1,"normal",70,10,,,7.5
"Lower","9 Apr 2026, 17:18","9 Apr 2026, 18:05","","Leg Extension (Machine)",,"",2,"normal",65,15,,,7
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Incline Bench Press (Barbell)",,"",0,"normal",70,6,,,8
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Incline Bench Press (Barbell)",,"",1,"normal",70,6,,,8
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Incline Bench Press (Barbell)",,"",2,"normal",70,8,,,9
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Incline Bench Press (Barbell)",,"",3,"normal",70,6,,,9
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",50,12,,,6
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",50,10,,,7
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",50,10,,,7
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Chest Press (Machine)",,"",0,"normal",80,10,,,8
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Chest Press (Machine)",,"",1,"normal",90,7,,,8.5
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Chest Press (Machine)",,"",2,"normal",90,8,,,10
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Single Arm Triceps Pushdown (Cable)",0,"",0,"normal",22.5,8,,,7
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Single Arm Triceps Pushdown (Cable)",0,"",1,"normal",22.5,9,,,8
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Single Arm Triceps Pushdown (Cable)",0,"",2,"normal",25,8,,,8.5
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Hammer Curl (Dumbbell)",0,"",0,"normal",20,7,,,9.5
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Hammer Curl (Dumbbell)",0,"",1,"normal",20,8,,,10
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Hammer Curl (Dumbbell)",0,"",2,"normal",20,8,,,10
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Upright Row (Cable)",,"",0,"normal",50,10,,,9
"Upper chest bias","8 Apr 2026, 17:15","8 Apr 2026, 18:24","","Upright Row (Cable)",,"",1,"normal",50,10,,,9
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Lat Pulldown (Cable)",,"",0,"normal",85,6,,,8
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Lat Pulldown (Cable)",,"",1,"normal",85,6,,,8
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Lat Pulldown (Cable)",,"",2,"normal",80,8,,,8.5
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Lat Pulldown (Cable)",,"",3,"normal",80,8,,,9
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Chest Fly (Machine)",,"",0,"normal",96,8,,,7
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Chest Fly (Machine)",,"",1,"normal",96,10,,,8.5
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Chest Fly (Machine)",,"",2,"normal",96,8,,,10
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Iso-Lateral Row (Machine)",,"",0,"normal",80,8,,,7
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Iso-Lateral Row (Machine)",,"",1,"normal",90,8,,,8.5
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Iso-Lateral Row (Machine)",,"",2,"normal",100,7,,,9
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Triceps Pushdown",0,"",0,"normal",55,10,,,7
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Triceps Pushdown",0,"",1,"normal",55,14,,,8.5
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Triceps Pushdown",0,"",2,"normal",55,12,,,10
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Bicep Curl (Cable)",0,"",0,"normal",35,10,,,6
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Bicep Curl (Cable)",0,"",1,"normal",45,10,,,8.5
"Upper back bias","7 Apr 2026, 17:15","7 Apr 2026, 18:15","","Bicep Curl (Cable)",0,"",2,"normal",45,10,,,9.5
